City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
177,namie,37.4833,141.0,22.62,96,100,2.61,JP,1695846286
178,bata,1.8639,9.7658,25.93,86,100,1.93,GQ,1695846286
179,nyaunglebin,17.95,96.7333,24.38,99,100,1.73,MM,1695846286
180,whitehorse,60.7161,-135.0538,8.43,95,100,1.54,CA,1695846123
181,lae,-6.7221,146.9847,23.37,90,100,1.79,PG,1695846286
182,yermentau,51.6214,73.1069,11.78,72,100,2.26,KZ,1695846286
183,adigrat,14.277,39.462,16.15,66,100,1.47,ET,1695846287
184,la porte,29.6658,-95.0194,35.06,60,40,3.6,US,1695846287
185,atar,20.5169,-13.0499,36.59,14,100,4.39,MR,1695846287
186,trujillo,-8.116,-79.03,20.98,78,75,4.63,PE,1695846257
187,sao jose da coroa grande,-8.8978,-35.1478,25.45,73,84,4.1,BR,1695846287
188,morehead city,34.7229,-76.726,23.0,81,100,5.14,US,1695846287
189,agnibilekrou,7.1344,-3.2047,23.81,96,2,0.32,CI,1695846287
190,port antonio,18.18,-76.4612,33.95,76,66,1.22,JM,1695846287
191,sisimiut,66.9395,-53.6735,3.25,93,100,2.33,GL,1695846288
192,eraan,9.0629,117.7016,25.85,88,16,2.13,PH,1695846288
193,keflavik,64.0049,-22.5624,10.24,71,75,3.6,IS,1695846288
194,veraval,20.9,70.3667,25.25,85,100,2.48,IN,1695846288
195,kerikeri,-35.2268,173.9474,12.73,94,13,5.22,NZ,1695846288
196,qom,34.6401,50.8764,22.72,26,11,2.48,IR,1695846288
197,mili,6.0815,171.735,28.53,75,48,3.38,MH,1695846288
198,chiavenna,46.3216,9.3986,20.32,78,6,0.48,IT,1695846288
199,port alfred,-33.5906,26.891,12.88,95,100,2.24,ZA,1695846289
200,mesolongi,38.3702,21.4295,22.05,83,100,4.49,GR,1695846289
201,vorkuta,67.5,64.0,0.4,85,100,1.66,RU,1695846289
202,hauterive,46.0901,3.4459,20.42,47,100,0.51,FR,1695846289
203,cockburn town,21.4612,-71.1419,29.03,75,6,5.8,TC,1695846289
204,springe,52.2085,9.5542,18.6,95,86,2.32,DE,1695846289
205,tegucigalpa,14.0818,-87.2068,29.42,58,75,3.6,HN,1695845774
206,peace river,56.2501,-117.286,14.17,67,100,4.12,CA,1695846290
207,broken hill,-31.95,141.4333,9.21,63,0,4.59,AU,1695846290
208,punta arenas,-53.15,-70.9167,6.01,60,0,2.06,CL,1695846290
209,beboto,8.2668,16.939,23.48,88,32,1.38,TD,1695846290
210,tidjikja,18.5564,-11.4271,37.09,19,85,1.61,MR,1695846290
211,castillos,-34.1667,-53.8333,12.72,77,77,4.59,UY,1695846290
212,islamkot,24.6997,70.177,30.02,59,8,5.36,PK,1695846290
213,rice lake,45.5061,-91.7382,20.92,82,100,3.6,US,1695846291
214,jumla,29.2747,82.1838,12.65,86,13,1.56,NP,1695846291
215,rybnoye,54.7256,39.5119,11.24,75,15,0.56,RU,1695846291
216,inhambane,-23.865,35.3833,22.8,95,88,4.58,MZ,1695846291
217,utrik,11.2278,169.8474,28.5,77,98,5.56,MH,1695846291
218,kalmunai,7.4167,81.8167,25.57,83,98,4.19,LK,1695846291
219,la passe,45.5549,-0.8967,20.13,85,100,3.28,FR,1695846291
220,junin de los andes,-39.9504,-71.0694,7.08,75,84,5.85,AR,1695846291
221,korsakov,46.6328,142.7813,11.58,93,100,2.4,RU,1695846292
